Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-06-11,119.015,122.388,117.57,120.461,4837.6723431859
2024-06-12,122.388,122.388,117.57,118.533,3602.8310543847
2024-06-13,118.533,119.497,114.679,115.642,5042.095648979
2024-06-14,116.606,116.606,114.197,115.642,15204.113078584
2024-06-17,114.679,116.124,113.715,115.642,4920.6868836095
2024-06-18,115.642,115.642,112.752,114.679,4146.5762941593
2024-06-19,114.679,124.797,114.679,120.943,32074.743056172
2024-06-20,122.87,126.725,121.425,122.87,4183.9328373499
2024-06-21,123.358,124.333,117.019,124.333,3530.7060683979
2024-06-24,123.845,124.333,119.945,122.382,2751.3460300644
2024-06-25,123.358,123.845,118.482,121.895,3049.7588868474
2024-06-26,122.382,122.382,118.969,121.895,7610.0405848333
2024-06-27,122.382,122.382,116.532,119.457,11764.234683898
2024-06-28,119.457,121.895,117.994,121.895,13066.586326903
2024-07-01,121.895,123.845,118.482,122.87,11031.020963624
2024-07-02,123.358,129.696,118.969,127.258,17883.236458551
2024-07-03,127.258,127.258,123.845,124.82,1015.2189973029
2024-07-04,125.795,125.795,122.382,122.382,823.45540892348
2024-07-05,126.771,130.184,124.333,125.795,14645.815878263
2024-07-08,125.795,133.109,124.82,133.109,53134.92156086
2024-07-09,134.572,135.059,128.721,130.184,15678.467929055
2024-07-10,131.159,131.646,127.746,130.671,5061.7383542295
2024-07-11,130.184,130.671,128.721,129.696,4262.8943149376
2024-07-12,128.721,129.696,126.771,128.233,4464.9126406636
2024-07-15,127.746,129.696,125.795,129.208,6385.6249456619
2024-07-16,129.208,129.696,122.382,124.82,5623.6979608174
2024-07-17,125.795,125.795,121.895,124.82,4187.0092585736
2024-07-18,122.382,132.134,121.895,130.671,4059.850515477
2024-07-19,130.184,130.184,125.308,126.771,3251.7772125733
2024-07-22,126.771,130.184,125.795,128.721,2736.9893977793
2024-07-23,129.696,129.696,124.333,126.771,2929.7784598934
2024-07-24,127.746,128.233,124.82,124.82,2755.447925003
2024-07-25,124.333,127.746,123.358,127.746,4385.9511630956
2024-07-26,128.721,128.721,125.308,126.771,2249.8893738208
2024-07-29,127.258,128.721,125.308,126.283,3222.0384742685
2024-07-30,127.746,127.746,119.945,125.795,24537.535522691
2024-07-31,125.795,127.258,123.358,126.771,21665.183591938
2024-08-01,126.283,130.671,124.333,130.671,18587.736914255
2024-08-02,129.208,129.208,123.358,124.82,5743.6783877714
2024-08-05,121.407,122.382,110.193,121.895,37264.690043425
2024-08-06,122.87,125.795,116.532,117.994,6278.9756772584
2024-08-07,118.969,121.407,117.507,119.457,5910.8306065192
2024-08-08,118.969,121.407,114.094,121.407,15085.744110428
2024-08-09,120.92,122.87,118.482,120.92,3571.7250177839
2024-08-12,120.92,126.283,119.457,126.283,3337.9170062839
2024-08-13,126.771,126.771,120.432,122.87,3874.2397695055
2024-08-14,122.87,122.87,118.969,121.895,3006.6889899921
2024-08-16,121.895,122.87,118.969,119.457,3460.9738544418
2024-08-19,118.969,122.87,117.994,122.382,2853.8934035293
2024-08-20,122.382,122.87,117.507,117.507,5483.2080591704
2024-08-21,117.507,119.945,117.507,119.945,1073.6710001779
2024-08-22,119.945,120.432,115.557,119.945,3984.9909328476
2024-08-23,119.945,120.432,117.507,118.482,2379.0990643866
2024-08-26,120.92,120.92,117.994,118.969,2249.8893738208
2024-08-27,118.969,120.432,117.507,119.945,1377.2112256342
2024-08-28,120.432,120.432,117.994,118.969,2900.0397215886
2024-08-29,120.432,120.432,117.019,120.432,5229.916046712
2024-08-30,120.432,124.333,118.482,123.845,14728.87925077
2024-09-02,121.895,126.771,120.92,126.771,4815.6246579137
2024-09-03,131.159,133.109,123.845,123.845,23724.334851114
2024-09-04,123.845,129.208,121.895,129.208,10538.793570992
2024-09-05,131.159,132.134,124.82,124.82,8037.6631321821
2024-09-06,124.82,125.795,123.845,123.845,8328.8976728226
2024-09-09,123.845,124.333,120.432,121.895,9457.9442546716
2024-09-10,121.895,123.845,121.895,122.382,6443.0514748023
2024-09-11,122.382,122.382,121.407,121.895,12309.786710732
2024-09-12,122.87,124.333,118.969,118.969,5188.8970973261
2024-09-13,118.969,121.895,116.044,117.019,9747.1278478427
2024-09-16,117.019,121.895,116.532,121.895,1952.5019907725
2024-09-17,121.895,122.87,115.557,117.019,9237.4674017219
2024-09-18,119.945,119.945,116.044,117.994,2840.5622449789
2024-09-19,117.994,120.432,117.994,119.457,1030.6011033227
2024-09-20,120.432,120.432,115.069,115.069,9113.3850798294
2024-09-23,115.557,118.969,112.144,114.094,5170.4385701024
2024-09-24,114.094,115.557,112.144,113.119,2788.2630845118
